DATE,NJPOP
1900-01-01,1884.000
1901-01-01,1889.000
1902-01-01,1917.000
1903-01-01,1969.000
1904-01-01,2050.000
1905-01-01,2151.000
1906-01-01,2239.000
1907-01-01,2314.000
1908-01-01,2403.000
1909-01-01,2487.000
1910-01-01,2550.000
1911-01-01,2610.000
1912-01-01,2670.000
1913-01-01,2729.000
1914-01-01,2789.000
1915-01-01,2850.000
1916-01-01,2918.000
1917-01-01,2976.000
1918-01-01,3043.000
1919-01-01,3136.000
1920-01-01,3198.000
1921-01-01,3297.000
1922-01-01,3380.000
1923-01-01,3472.000
1924-01-01,3573.000
1925-01-01,3664.000
1926-01-01,3758.000
1927-01-01,3891.000
1928-01-01,3968.000
1929-01-01,3989.000
1930-01-01,4068.000
1931-01-01,4120.000
1932-01-01,4120.000
1933-01-01,4107.000
1934-01-01,4089.000
1935-01-01,4085.000
1936-01-01,4084.000
1937-01-01,4088.000
1938-01-01,4100.000
1939-01-01,4129.000
1940-01-01,4175.000
1941-01-01,4254.000
1942-01-01,4297.000
1943-01-01,4226.000
1944-01-01,4158.000
1945-01-01,4108.000
1946-01-01,4492.000
1947-01-01,4618.000
1948-01-01,4774.000
1949-01-01,4889.000
1950-01-01,4872.000
1951-01-01,5006.000
1952-01-01,5125.000
1953-01-01,5229.000
1954-01-01,5360.000
1955-01-01,5502.000
1956-01-01,5615.000
1957-01-01,5737.000
1958-01-01,5890.000
1959-01-01,6015.000
1960-01-01,6103.000
1961-01-01,6265.000
1962-01-01,6376.000
1963-01-01,6531.000
1964-01-01,6660.000
1965-01-01,6767.000
1966-01-01,6851.000
1967-01-01,6928.000
1968-01-01,7005.000
1969-01-01,7095.000
1970-01-01,7171.112
1971-01-01,7281.107
1972-01-01,7335.042
1973-01-01,7333.083
1974-01-01,7332.411
1975-01-01,7337.765
1976-01-01,7339.745
1977-01-01,7337.169
1978-01-01,7350.804
1979-01-01,7366.512
1980-01-01,7376.330
1981-01-01,7407.472
1982-01-01,7430.968
1983-01-01,7467.785
1984-01-01,7515.473
1985-01-01,7565.528
1986-01-01,7622.159
1987-01-01,7670.742
1988-01-01,7712.333
1989-01-01,7726.089
1990-01-01,7757.158
1991-01-01,7784.269
1992-01-01,7827.770
1993-01-01,7874.891
1994-01-01,7918.796
1995-01-01,7965.523
1996-01-01,8009.624
1997-01-01,8054.178
1998-01-01,8095.542
1999-01-01,8143.412
2000-01-01,8430.621
2001-01-01,8492.671
2002-01-01,8552.643
2003-01-01,8601.402
2004-01-01,8634.561
2005-01-01,8651.974
2006-01-01,8661.679
2007-01-01,8677.885
2008-01-01,8711.090
2009-01-01,8755.602
2010-01-01,8803.708
2011-01-01,8844.694
2012-01-01,8882.095
2013-01-01,8913.735
2014-01-01,8943.010
2015-01-01,8960.001
2016-01-01,8978.416
2017-01-01,9005.644
